timestamp,agent,agent_ip,rule_id,rule_level,rule_groups,event_desc,decoder,location,syscheck_event,syscheck_path,syscheck_size,syscheck_sha256,syscheck_uname,syscheck_mtime,data_file,data_title,event_type,app_proto,proto,src_ip,src_port,dst_ip,dst_port,alert_severity,alert_signature,alert_category,bytes_toserver,bytes_toclient,pkts_toserver,pkts_toclient,bytes,length,full_log,hour,day_of_week,minute,is_night,is_weekend,is_business_hours,is_well_known_port,is_registered_port,is_dynamic_port,port_range,is_ephemeral_src,log_bytes,packet_size_category,log_length,total_packets,packet_ratio,is_internal_src,is_internal_dst,is_internal_communication,is_syscheck_event,is_file_added,is_file_modified,is_file_deleted,syscheck_path_length,is_system_path,is_user_path,is_high_severity_alert,has_alert_category,alert_signature_length,has_alert_signature,is_alert_event,is_flow_event,has_app_proto,is_http_proto,is_ssl_proto,event_desc_length,event_word_count,danger_keyword_count,is_auth_event,is_fim_event,severity_category,is_critical,is_high,is_medium,time_delta,events_in_window,avg_event_frequency,is_burst,event_velocity,agent_event_count,is_rare_agent,src_ip_count,is_rare_src_ip,agent_avg_rule_level,rule_level_deviation,agent_code,proto_code,event_desc_code,decoder_code,location_code,syscheck_event_code,syscheck_path_code,alert_signature_code,alert_category_code,event_type_code,app_proto_code,data_file_code,data_title_code,port_range_code,severity_category_code,packet_size_category_code,anomaly_label,anomaly_score,anomaly_votes,iforest_vote,lof_vote,svm_vote
2025-10-21 09:49:36.466000+00:00,wazuh-server,0.0,502,3,ossec,wazuh server started.,ossec,wazuh-monitord,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,ossec: Manager started.,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,21,3,0,0,0,info,0,0,0,0.0,1,0.1,0,0.0,905,0,,0,4.478453038674033,1.4784530386740329,1,1,323,5,9,3,59,9,3,1,2,1,1,2,0,3,1,-0.019838047861332697,1,1,-1,1
2025-10-21 09:49:36.614000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure mounting of cramfs filesystems is disabled.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,96,14,0,0,1,low,0,0,1,0.148,2,0.2,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,111,8,6,3,59,9,3,1,2,1,1,2,1,3,1,-1.0007508333381114,1,1,-1,1
2025-10-21 09:49:36.624000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure freevxfs kernel module is not available.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,93,14,0,0,0,low,0,0,1,0.01,3,0.3,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,66,8,6,3,59,9,3,1,2,1,1,2,1,3,1,0.0017990860330610776,0,1,1,1
2025-10-21 09:49:36.634000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure hfs kernel module is not available.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,88,14,0,0,0,low,0,0,1,0.01,4,0.4,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,78,8,6,3,59,9,3,1,2,1,1,2,1,3,1,0.07740899347102263,0,1,1,1
2025-10-21 09:49:36.647000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure hfsplus kernel module is not available.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,92,14,0,0,0,low,0,0,1,0.013,5,0.5,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,79,8,6,3,59,9,3,1,2,1,1,2,1,3,1,0.07139776747284883,0,1,1,1
2025-10-21 09:49:36.655000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure jffs2 kernel module is not available.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,90,14,0,0,0,low,0,0,1,0.008,6,0.6,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,91,8,6,3,59,9,3,1,2,1,1,2,1,3,1,0.10000743836233379,0,1,1,1
2025-10-21 09:49:36.664000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure overlayfs kernel module is not available.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,94,14,0,0,0,low,0,0,1,0.009,7,0.7,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,145,8,6,3,59,9,3,1,2,1,1,2,1,3,1,0.13577214675034233,0,1,1,1
2025-10-21 09:49:36.675000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure squashfs kernel module is not available.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,93,14,0,0,0,low,0,0,1,0.011,8,0.8,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,219,8,6,3,59,9,3,1,2,1,1,2,1,3,1,0.11195292491423521,0,1,1,1
2025-10-21 09:49:36.685000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure udf kernel module is not available.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,88,14,0,0,0,low,0,0,1,0.01,9,0.9,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,265,8,6,3,59,9,3,1,2,1,1,2,1,3,1,0.024002534488386,0,1,1,1
2025-10-21 09:49:36.695000+00:00,wazuh-server,0.0,19007,7,sca,cis ubuntu linux 24.04 lts benchmark v1.0.0.: ensure usb-storage kernel module is not available.,sca,sca,nan,nan,0.0,,,,nan,nan,nan,nan,nan,,0.0,,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,,9,1,49,0,0,1,0,0,0,web,0,0.0,tiny,0.0,0.0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,96,14,0,0,0,low,0,0,1,0.01,10,1.0,0,1.0,905,0,,0,4.478453038674033,2.521546961325967,1,1,274,8,6,3,59,9,3,1,2,1,1,2,1,3,1,-0.03855094585378412,0,1,1,1
